paragraph;label;tribunal;witness;document;case;date
ýý ý Kingdom of Cam bodia Nation Religion King Royaume du Cambodge Nation Religion Roi GgÁCMnMuRmHvisamBaØkñúgtulakark ð Trial Chamber Chambre de première instance TRANSCRIPT OF TRIAL PROCEEDINGS  KAING GUEK EAV ﬁDUCHﬂ PUBLIC Case File Nº   ECCC TC June H Trial Day Before the Judges NIL Nonn Presiding Silvia CARTWRIGHT YA Sokhan JeanMarc LAVERGNE THOU Mony YOU Ottara Reserve Claudia FENZ Reserve Trial Chamber Greffiers Legal Officers DUCH Phary SE Kolvuthy LIM SuyHong Natacha WEXELSRISER Matteo CRIPPA For the Office of the CoProsecutors William SMITH YET Chakriya PICH Sambath Zachery LAMPEL PAK Chanlino The Accused KAING Guek Eav Lawyers for the Accused KAR Savuth MariePaule CANIZARES Heleyn UÑAC Lawyers for the Civil Parties KIM Mengkhy KONG Pisey TY Srinna HONG Kimsuon MOCH Sovannary YUNG Phanit Silke STUDZINSKY Alain WERNER For Court Management Section KAUV Keoratanak CmúCa Extraordinary Chambers in the Courts of Cambodia Chambres Extraordinaires au sein des Tribunaux Cambodgiens Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page i I N D E X WITNESSES MR VANN NATH Questioning by Mr President commences pa ge Questioning by Judge Lavergne commences page Questioning by Judge Ya Sokhan commences page Questioning by Judge Thou Mony commences page Questioning by Mr Yet Chakriya commences page Questioning by Mr Petit commences page Questioning by Mr Hong Kimsuon commences page Questioning by Mr Kim Mengkhy commences page Questioning by Mr Kong Pisey commences page Questioning by Mr Werner commences;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
pag e Questioning by Mr Kar Savuth commenc es page Questioning by Ms Canizares commences page Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page ii List of Speakers Language used unless specified otherwise in the transcript Speaker Language MS CANIZARES French JUDGE CARTWRIGHT English MR HONG KIMSUON Khmer MR KAR SAVUTH Khmer MR KIM MENGKHY Khmer MR KONG PISEY Khmer JUDGE LAVERGNE French MR PETIT English MS STUDZINSKY English THE PRESIDENT NIL NONN Presiding Khmer JUDGE THOU MONY Khmer MR VANN NATH Khmer MR WERNER French JUDGE YA SOKHAN Khmer MR YET CHAKRIYA Khmer Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page P R O C E E D I N G S Judges enter courtroom   MR PRESIDENT Please be seated The Court is now in session This morning according to our schedule we are now in the process already of hearing the testimony of the survivors of security office of S The Greffier could you please verify the attendance of the parties to the proceedings and people who are involved in todays proceedings THE GREFFIER Mr President the parties to the proceedings are all present The witness is also now available at the waiting room MR PRESIDENT Before we begin our session regarding the testimony of the survivors of the S the Trial Chamber would like to pronounce the;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
decision on the removal of witnesses from the witness list   The Chamber wishes to inform the parties and the public about issues discussed at the trial management meeting on the afternoon of the rd of June and subsequent decisions In order to ensure the conduct of a fair and expeditious trial the Chamber reviewed the list of witnesses with a view to reducing the number called to testify in person Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page After observing the evolution of the proceedings and at the trial management meeting the Trial Chamber after reviewing the progress in the trial to date proposed removing a number of witnesses from the witness list clarifying that it will put before the Court a statement of those witnesses who were heard before the ECCC during the investigative phase The Chamber sought the views of the parties on this proposal and enquired whether they wished any of these witnesses to be heard in person The CoProsecutors did not comment on individual witnesses but suggested that a reserve list of witnesses be retained for consideration at a later stage Civil party groups and supported the CoProsecutors decision Civil party group asked to hear witnesses KW KW KW KW KW and KW in person but failed to give reasons for the request Civil party group requested to hear witnesses KW KW KW CP KW CP and CP  ;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
The defence agreed with the Chambers proposal with the exception of the suggestion to remove Raoul Marc Jennar from the list The Chamber notes that the defence did not seek the presence of any of these witnesses for the purpose of confrontation In summary reasons given by the parties are KW was in the Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page special unit and made arrests and the Chinese were involved The accused has contested that this unit made arrests KW would testify that the accused conducted interrogations personally in particular on foreigners and important prisoners This is contested by the accused KW would testify about meetings between the accused and the upper echelon asserting that this is contested by the accused CP would testify about visits of the accused to Choeung Ek Again this situation is that this is contested by the accused KW would testify that the accused ordered arrests and torture after which would demonstrate that his claim that he hated this work and was fearful for his fate is not credible CP would testify about the conditions of staff and forced marriages at S CP would testify about direct communication between the accused and Division and give evidence about the time after the collapse of the Khmer Rouge regime   Raoul Marc Jennar is a researcher of the crimes during the Democratic Kampuchea period and has visited prisons He would;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
therefore be in a position to compare them with S In addition it would be unfair not to let the defence call an expert to give testimony The decisions The Chamber notes that during the trial management meeting no Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page party objected to the removal from the witness list of the following witnesses and to their written statements made before the ECCC during the investigating phase being put before the Court pursuant to Rule   In the absence of any objection from the parties the Chamber considers that the parties do not request the personal appearance of any of the following witnesses in Court KW KW CP Nic Dunlop KW KW CP Are there any objections that the Chamber has not already heard concerning these witnesses The Chamber hereby removes these witnesses from the witness list The Chamber notes that civil party group has withdrawn its request to hear witnesses CP and CP The Chamber decides not to call these witnesses The Chamber rejects the request of civil party group to hear witnesses KW KW KW CP CP and CP civil party group to hear witnesses KW KW KW KW and KW Reasons The Chamber has considered the list of witnesses and finds that a number would give similar testimony on relevant facts The Chamber has therefore selected a group of witnesses who are likely to give the;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
most relevant testimony in person The parties should bear in mind that all statements made before Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page the ECCC during the investigative phase will be put before the Chamber at the relevant time The Chamber therefore removes witnesses KW KW KW KW KW KW CP and CP from the list of those who are to be heard in Court The Chamber wishes to inform the parties that after further consideration it has decided to keep witness KW on the list because the witness can testify to relevant facts concerning Prey Sar   The Trial Chamber considers it unnecessary to retain a reserve list of witnesses who might be called to give evidence orally On Thursday th of June the Chamber informed the parties that it wished to remove an additional witness from the list namely KW and informed the parties that they would have an opportunity to comment on this proposal today Are there any comments on the proposal to remove KW from the witness list Judge Silvia Cartwright you take the floor JUDGE CARTWRIGHT Yes thank you Mr President The President has asked me to state clearly that if there are to be any comments concerning KW that absolutely no identifying details be made concerning this person By that we mean no identifying details as to occupation sex and address nor any details about his occupation at;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
the time that we are considering Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page So if there are any comments could you please bear this in mind Thank you Of course this is because this is a public discussion about this particular potential witness Thank you MR PETIT Good morning Mr President Thank you Madam Judge   We have indeed brief comments about this particular witness I would either suggest however that the substance of these comments would be lacking if we cannot address specifics of his expected testimony Therefore I would suggest perhaps for the sake of efficiency either go in camera  which might not be the best  so that we can get on with the witnesses or perhaps written comments by the close of business day tomorrow could be forwarded to the Chamber and then we can proceed with the days business Deliberation between Judges MR PRESIDENT Thank you Mr CoProsecutor for your observation Since this needs to be discussed in closed camera  or in closed session then we will give opportunity for you to make your observation concerning this KW before we can make the final decision So the Chamber would like to give opportunity to you to file the written submission by tomorrow p m Is there any other party who would wish to make any observation Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
Day Case No   ECCC TC KAING GUEK EAV Page concerning KW since our last notice to the parties on Thursday afternoon The defence counsel would you like to make any comments concerning this proposal   MR KAR SAVUTH Thank you Mr President Regarding the proposal to remove KW from the witness list we do not have any objection because there have been several witnesses already and since these two witnesses would only testify on the same fact and since one is already selected I think it is significant to have one witness MR PRESIDENT Thank you Mr Lawyer In addition the Chamber wishes to inform the parties of the following technical details The Chamber will hear KW for one and a half days David Chandler for one day KW for a halfday CP for a halfday KW and Françoise SironiGuilbard jointly for one day and a half The Chamber will hear Françoise SironiGuilbard in person It will hear Richard J Goldstone and Stephane Hessel through videoconference The Chamber does not accept the suggestion of the defence to provide it and the CoProsecutors with the opportunity to be next to witnesses testifying by videoconference The Chamber takes this opportunity to inform the parties that Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Charles Figley has declined the invitation to testify and the Chamber does not plan to compel him to appear So this is;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
the decision regarding  or the subsequent decisions from the trial management meeting conducted on the afternoon of Thursday Except witness KW since the written submission is pending from the CoProsecutor the Trial Chamber will make a decision on this matter after we have received his written submission first There are still remaining issues concerning the legal aspects and in order to clarify this for example the matter of the joint criminal enterprise I would like to give the floor to Judge Lavergne to make his observations concerning the matter The floor is yours JUDGE LAVERGNE Thank you Mr President On this last point the Chamber has taken note of conclusions submitted by the CoProsecutors on the th of June whereby the Chamber is requested to on the hand state that the legal concept of joint criminal enterprise in its three forms is applicable before the Extraordinary Chambers and on the other hand to apply this notion in its judgment as regards the commission of crimes charged against the accused as well as his responsibility as a participant in a joint criminal enterprise   The Trial Chamber recalls that the CoProsecutors have indicated their intention to rely on the notion of joint criminal Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page enterprise during the initial hearing Consequently the Trial Chamber considers that the issue of the mode of responsibility of the accused including as a;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
participant in a JCE is currently before it and invites the parties to make submissions on the filing by the CoProsecutors in accordance with the practice directives and in particular following notification in the languages which they require Finally the Trial Chamber clarifies that at this stage it considers rendering its decision on this matter at the same time as the judgement on merits MR PRESIDENT So next the decision to hear the testimony of the survivors of S Court officials could you please bring the witness Vann Nath into the courtroom Witness enters courtroom   QUESTIONING BY THE BENCH BY MR PRESIDENT Q Is your name Vann Nath A Yes Q Do you have another name besides Nath A No I do not have one Q How old are you this year A I am years old Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page Q Where is your current residence A I live in Mittapheap  Sangkat Mittapheap Prampi Makara district Phnom Penh Q What is your occupation A I am a painter Q Are you still practising your profession as a painter A Due to my poor health I do not work much as a painter Q Have you taken an oath yet A Yes I have   Q Are you related by blood or by law to any people in this case A No Q Today the Chamber invites you;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
